Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9670588235294117,0.8988920915150423,0.8988920915150423,0.9658114139964931,0.36055827140808105
XGBClassifier,0.9647058823529412,0.897518465141416,0.897518465141416,0.9635158644334524,0.4448997974395752
BaggingClassifier,0.9541176470588235,0.8674563141776257,0.8674563141776257,0.9520868631428231,0.5112829208374023
RandomForestClassifier,0.9588235294117647,0.8633804719870294,0.8633804719870294,0.9562563295964455,1.8675994873046875
DecisionTreeClassifier,0.9129411764705883,0.8434178526391641,0.8434178526391641,0.914619877383086,0.10328912734985352
ExtraTreesClassifier,0.9341176470588235,0.7739033507476131,0.7739033507476131,0.9259334467840813,0.9603776931762695
SVC,0.928235294117647,0.7704692848135472,0.7704692848135472,0.9203869655196604,0.8071858882904053
NearestCentroid,0.7611764705882353,0.7377612141956404,0.7377612141956404,0.7910849870514243,0.03840947151184082
QuadraticDiscriminantAnalysis,0.8670588235294118,0.7245203566924878,0.7245203566924879,0.8663680658359658,0.043537139892578125
ExtraTreeClassifier,0.8588235294117647,0.6992433795712485,0.6992433795712484,0.8568164359380873,0.040465354919433594
GaussianNB,0.8470588235294118,0.6650828679517204,0.6650828679517204,0.8431323833881379,0.057398319244384766
LabelPropagation,0.851764705882353,0.6575954782921996,0.6575954782921997,0.8448810521751698,1.188880205154419
LabelSpreading,0.851764705882353,0.6575954782921996,0.6575954782921997,0.8448810521751698,1.466064453125
AdaBoostClassifier,0.88,0.6570212574310935,0.6570212574310934,0.8635888694762858,0.5354115962982178
PassiveAggressiveClassifier,0.8788235294117647,0.6495113493064313,0.6495113493064312,0.8610637610350668,0.043152809143066406
KNeighborsClassifier,0.8870588235294118,0.6406728517384255,0.6406728517384256,0.8643140180354129,0.5112998485565186
Perceptron,0.8847058823529412,0.6290645829580256,0.6290645829580256,0.8595878168340506,0.05016446113586426
LinearDiscriminantAnalysis,0.8541176470588235,0.6077958926319582,0.6077958926319582,0.8350920131646039,0.043349504470825195
LogisticRegression,0.8623529411764705,0.5818996577193298,0.5818996577193297,0.8317792960692666,0.0636284351348877
CalibratedClassifierCV,0.86,0.5805260313457035,0.5805260313457034,0.8300874543480407,1.4654748439788818
LinearSVC,0.8611764705882353,0.5641551071878941,0.564155107187894,0.8246519419246,0.3791375160217285
BernoulliNB,0.8564705882352941,0.5579963069717168,0.5579963069717168,0.8200781500324322,0.04004693031311035
RidgeClassifier,0.8588235294117647,0.5457237434696451,0.5457237434696451,0.8158938955071108,0.049169301986694336
RidgeClassifierCV,0.8588235294117647,0.5457237434696451,0.5457237434696451,0.8158938955071108,0.05144166946411133
SGDClassifier,0.8647058823529412,0.542334714465862,0.542334714465862,0.8165030367611689,0.08027172088623047
DummyClassifier,0.8564705882352941,0.5,0.5,0.7902542309699545,0.040704965591430664
